"ERPNext Settings","Thiết lập ERPNext"
"Global Defaults","Mặc định toàn hệ thống"
"System Settings","Thiết lập hệ thống"
"Accounts Settings","Thiết lập kế toán"
"POS Settings","Thiết lập POS"
"Selling Settings","Thiết lập bán hàng"
"Buying Settings","Thiết lập mua hàng"
"Stock Settings","Thiết lập kho"
"Manufacturing Settings","Thiết lập sản xuất"
"Projects Settings","Thiết lập dự án"
"CRM Settings","Thiết lập CRM"
"Support Settings","Thiết lập hỗ trợ"
"Other Settings","Thiết lập khác"
"Search","Tìm kiếm"
"Notification","Thông báo"
"Save","Lưu"
"Not Saved","Chưa lưu"
"Draft","Nháp"
"Collapse","Thu gọn"
"Details","Chi tiết"
"Login","Đăng nhập"
"Password","Mật khẩu"
"Email","Email"
"Files","Tệp"
"App","Ứng dụng"
"Display","Hiển thị"
"Backups","Sao lưu"
"Advanced","Nâng cao"
"Country","Quốc gia"
"Time Zone","Múi giờ"
"Language","Ngôn ngữ"
"Currency","Tiền tệ"
"Default display currency","Tiền tệ hiển thị mặc định"
"Enable Onboarding","Bật hướng dẫn khởi tạo"
"Disable Document Sharing","Tắt chia sẻ chứng từ"
"Date and Number Format","Định dạng ngày và số"
"Date Format","Định dạng ngày"
"Time Format","Định dạng giờ"
"Number Format","Định dạng số"
"Float Precision","Số lẻ thập phân"
"Currency Precision","Số lẻ tiền tệ"
"Use Number Format from Currency","Dùng định dạng số theo tiền tệ"
"Rounding Method","Phương pháp làm tròn"
"Banker's Rounding (legacy)","Làm tròn Banker's (cũ)"
"First Day of the Week","Ngày đầu tuần"
"Show Absolute Datetime in Timeline","Hiển thị thời gian tuyệt đối trên dòng thời gian"
"Permissions","Phân quyền"
"Apply Strict User Permissions","Áp dụng phân quyền người dùng nghiêm ngặt"
"Show External Link Warning","Cảnh báo liên kết ngoài"
"Comments","Bình luận"
"Activity","Hoạt động"
"Assign","Phân công"
"Attachments","Tệp đính kèm"
"Share","Chia sẻ"
"Last Edited by You","Bạn chỉnh sửa lần cuối"
"Created By You","Bạn tạo"
"Sunday","Chủ nhật"
"Monday","Thứ hai"
"Tuesday","Thứ ba"
"Wednesday","Thứ tư"
"Thursday","Thứ năm"
"Friday","Thứ sáu"
"Saturday","Thứ bảy"
"Never","Không bao giờ"
"Ask","Hỏi trước"
"Always","Luôn luôn"
"Vietnam","Việt Nam"
"Home","Trang chủ"
"Administrator","Quản trị viên"
"Framework","Nền tảng"
"Organization","Tổ chức"
"Accounting","Kế toán"
"Accounts","Kế toán"
"Assets","Tài sản"
"Automation","Tự động hóa"
"Bulk Transaction","Giao dịch hàng loạt"
"Buying","Mua hàng"
"Communication","Giao tiếp"
"Contacts","Liên hệ"
"Core","Lõi hệ thống"
"CRM","Quan hệ khách hàng"
"Custom","Tùy chỉnh"
"Desk","Bàn làm việc"
"EDI","Trao đổi dữ liệu điện tử"
"ERPNext Integrations","Tích hợp ERPNext"
"Geo","Địa lý"
"Integrations","Tích hợp"
"Maintenance","Bảo trì"
"Manufacturing","Sản xuất"
"Pharma Integrations","Tích hợp dược phẩm"
"Pharma Operations","Vận hành dược phẩm"
"Portal","Cổng thông tin"
"Printing","In ấn"
"Projects","Dự án"
"Quality","Chất lượng"
"Quality Management","Quản lý chất lượng"
"Regional","Địa phương hóa"
"Selling","Bán hàng"
"Setup","Thiết lập"
"Stock","Kho"
"Subcontracting","Gia công ngoài"
"Support","Hỗ trợ"
"Telephony","Điện thoại"
"Utilities","Tiện ích"
"Website","Trang web"
